                 device    runner a_dtype b_dtype  group_size    m     k     n  latency
NVIDIA-GeForce-RTX-4090 torch-f16 float16 float16          -1   64 16384 16384 0.644032
NVIDIA-GeForce-RTX-4090   cutlass float16  uint4b         128   64 16384 16384 0.643072
NVIDIA-GeForce-RTX-4090    triton float16  uint4b         128   64 16384 16384 0.364544
NVIDIA-GeForce-RTX-4090     mutis float16  uint4b         128   64 16384 16384 0.322576
NVIDIA-GeForce-RTX-4090   gemlite float16  uint4b         128   64 16384 16384 0.291616
NVIDIA-GeForce-RTX-4090    tilelp float16  uint4b         128   64 16384 16384 0.278528
NVIDIA-GeForce-RTX-4090   bitblas float16  uint4b         128   64 16384 16384 0.996352
NVIDIA-GeForce-RTX-4090 torch-f16 float16 float16          -1  128 16384 16384 0.651264
NVIDIA-GeForce-RTX-4090   cutlass float16  uint4b         128  128 16384 16384 0.651264
NVIDIA-GeForce-RTX-4090    triton float16  uint4b         128  128 16384 16384 0.532480
NVIDIA-GeForce-RTX-4090     mutis float16  uint4b         128  128 16384 16384 0.607232
NVIDIA-GeForce-RTX-4090   gemlite float16  uint4b         128  128 16384 16384 0.501760
NVIDIA-GeForce-RTX-4090    tilelp float16  uint4b         128  128 16384 16384 0.456656
NVIDIA-GeForce-RTX-4090   bitblas float16  uint4b         128  128 16384 16384 1.229824
NVIDIA-GeForce-RTX-4090 torch-f16 float16 float16          -1  256 16384 16384 0.863232
NVIDIA-GeForce-RTX-4090   cutlass float16  uint4b         128  256 16384 16384 0.864256
NVIDIA-GeForce-RTX-4090    triton float16  uint4b         128  256 16384 16384 0.990352
NVIDIA-GeForce-RTX-4090     mutis float16  uint4b         128  256 16384 16384 1.243936
NVIDIA-GeForce-RTX-4090   gemlite float16  uint4b         128  256 16384 16384 0.967680
NVIDIA-GeForce-RTX-4090    tilelp float16  uint4b         128  256 16384 16384 0.904192
NVIDIA-GeForce-RTX-4090   bitblas float16  uint4b         128  256 16384 16384 1.132544
NVIDIA-GeForce-RTX-4090 torch-f16 float16 float16          -1  384 16384 16384 1.363968
NVIDIA-GeForce-RTX-4090   cutlass float16  uint4b         128  384 16384 16384 1.364992
NVIDIA-GeForce-RTX-4090    triton float16  uint4b         128  384 16384 16384 1.478704
NVIDIA-GeForce-RTX-4090     mutis float16  uint4b         128  384 16384 16384 2.091008
NVIDIA-GeForce-RTX-4090   gemlite float16  uint4b         128  384 16384 16384 1.449088
NVIDIA-GeForce-RTX-4090    tilelp float16  uint4b         128  384 16384 16384 1.334272
NVIDIA-GeForce-RTX-4090   bitblas float16  uint4b         128  384 16384 16384 2.263888
NVIDIA-GeForce-RTX-4090 torch-f16 float16 float16          -1  512 16384 16384 1.644544
NVIDIA-GeForce-RTX-4090   cutlass float16  uint4b         128  512 16384 16384 1.644544
NVIDIA-GeForce-RTX-4090    triton float16  uint4b         128  512 16384 16384 1.982464
NVIDIA-GeForce-RTX-4090     mutis float16  uint4b         128  512 16384 16384 2.360320
NVIDIA-GeForce-RTX-4090   gemlite float16  uint4b         128  512 16384 16384 1.928192
NVIDIA-GeForce-RTX-4090    tilelp float16  uint4b         128  512 16384 16384 1.763328
NVIDIA-GeForce-RTX-4090   bitblas float16  uint4b         128  512 16384 16384 2.102272
NVIDIA-GeForce-RTX-4090 torch-f16 float16 float16          -1  640 16384 16384 2.200576
NVIDIA-GeForce-RTX-4090   cutlass float16  uint4b         128  640 16384 16384 2.201600
NVIDIA-GeForce-RTX-4090    triton float16  uint4b         128  640 16384 16384 2.498560
NVIDIA-GeForce-RTX-4090     mutis float16  uint4b         128  640 16384 16384 2.861088
NVIDIA-GeForce-RTX-4090   gemlite float16  uint4b         128  640 16384 16384 2.400256
NVIDIA-GeForce-RTX-4090    tilelp float16  uint4b         128  640 16384 16384 2.182320
NVIDIA-GeForce-RTX-4090   bitblas float16  uint4b         128  640 16384 16384 3.231712
NVIDIA-GeForce-RTX-4090 torch-f16 float16 float16          -1  768 16384 16384 2.523136
NVIDIA-GeForce-RTX-4090   cutlass float16  uint4b         128  768 16384 16384 2.532352
NVIDIA-GeForce-RTX-4090    triton float16  uint4b         128  768 16384 16384 2.996224
NVIDIA-GeForce-RTX-4090     mutis float16  uint4b         128  768 16384 16384 3.160064
NVIDIA-GeForce-RTX-4090   gemlite float16  uint4b         128  768 16384 16384 2.872320
NVIDIA-GeForce-RTX-4090    tilelp float16  uint4b         128  768 16384 16384 2.595360
NVIDIA-GeForce-RTX-4090   bitblas float16  uint4b         128  768 16384 16384 3.159312
NVIDIA-GeForce-RTX-4090 torch-f16 float16 float16          -1  896 16384 16384 3.004416
NVIDIA-GeForce-RTX-4090   cutlass float16  uint4b         128  896 16384 16384 3.003392
NVIDIA-GeForce-RTX-4090    triton float16  uint4b         128  896 16384 16384 3.508224
NVIDIA-GeForce-RTX-4090     mutis float16  uint4b         128  896 16384 16384 3.620864
NVIDIA-GeForce-RTX-4090   gemlite float16  uint4b         128  896 16384 16384 3.333952
NVIDIA-GeForce-RTX-4090    tilelp float16  uint4b         128  896 16384 16384 3.016704
NVIDIA-GeForce-RTX-4090   bitblas float16  uint4b         128  896 16384 16384 4.271104
NVIDIA-GeForce-RTX-4090 torch-f16 float16 float16          -1 1024 16384 16384 3.294208
NVIDIA-GeForce-RTX-4090   cutlass float16  uint4b         128 1024 16384 16384 3.302400
NVIDIA-GeForce-RTX-4090    triton float16  uint4b         128 1024 16384 16384 3.972224
NVIDIA-GeForce-RTX-4090     mutis float16  uint4b         128 1024 16384 16384 3.934208
NVIDIA-GeForce-RTX-4090   gemlite float16  uint4b         128 1024 16384 16384 3.789824
NVIDIA-GeForce-RTX-4090    tilelp float16  uint4b         128 1024 16384 16384 3.425280
NVIDIA-GeForce-RTX-4090   bitblas float16  uint4b         128 1024 16384 16384 4.208640
NVIDIA-GeForce-RTX-4090 torch-f16 float16 float16          -1 1152 16384 16384 3.818496
NVIDIA-GeForce-RTX-4090   cutlass float16  uint4b         128 1152 16384 16384 3.821568
NVIDIA-GeForce-RTX-4090    triton float16  uint4b         128 1152 16384 16384 4.496384
NVIDIA-GeForce-RTX-4090     mutis float16  uint4b         128 1152 16384 16384 4.465664
NVIDIA-GeForce-RTX-4090   gemlite float16  uint4b         128 1152 16384 16384 4.272128
NVIDIA-GeForce-RTX-4090    tilelp float16  uint4b         128 1152 16384 16384 3.851264
NVIDIA-GeForce-RTX-4090   bitblas float16  uint4b         128 1152 16384 16384 5.318656
NVIDIA-GeForce-RTX-4090 torch-f16 float16 float16          -1 1280 16384 16384 4.125696
NVIDIA-GeForce-RTX-4090   cutlass float16  uint4b         128 1280 16384 16384 4.128224
NVIDIA-GeForce-RTX-4090    triton float16  uint4b         128 1280 16384 16384 4.964352
NVIDIA-GeForce-RTX-4090     mutis float16  uint4b         128 1280 16384 16384 4.731472
NVIDIA-GeForce-RTX-4090   gemlite float16  uint4b         128 1280 16384 16384 4.710400
NVIDIA-GeForce-RTX-4090    tilelp float16  uint4b         128 1280 16384 16384 4.270080
NVIDIA-GeForce-RTX-4090   bitblas float16  uint4b         128 1280 16384 16384 5.235712
NVIDIA-GeForce-RTX-4090 torch-f16 float16 float16          -1 1408 16384 16384 4.583440
NVIDIA-GeForce-RTX-4090   cutlass float16  uint4b         128 1408 16384 16384 4.588512
NVIDIA-GeForce-RTX-4090    triton float16  uint4b         128 1408 16384 16384 5.454848
NVIDIA-GeForce-RTX-4090     mutis float16  uint4b         128 1408 16384 16384 5.188608
NVIDIA-GeForce-RTX-4090   gemlite float16  uint4b         128 1408 16384 16384 5.194752
NVIDIA-GeForce-RTX-4090    tilelp float16  uint4b         128 1408 16384 16384 4.671488
NVIDIA-GeForce-RTX-4090   bitblas float16  uint4b         128 1408 16384 16384 6.359040
NVIDIA-GeForce-RTX-4090 torch-f16 float16 float16          -1 1536 16384 16384 4.940288
NVIDIA-GeForce-RTX-4090   cutlass float16  uint4b         128 1536 16384 16384 4.946800
NVIDIA-GeForce-RTX-4090    triton float16  uint4b         128 1536 16384 16384 5.957632
NVIDIA-GeForce-RTX-4090     mutis float16  uint4b         128 1536 16384 16384 5.524480
NVIDIA-GeForce-RTX-4090   gemlite float16  uint4b         128 1536 16384 16384 5.655552
NVIDIA-GeForce-RTX-4090    tilelp float16  uint4b         128 1536 16384 16384 5.106688
NVIDIA-GeForce-RTX-4090   bitblas float16  uint4b         128 1536 16384 16384 6.292496
NVIDIA-GeForce-RTX-4090 torch-f16 float16 float16          -1 1664 16384 16384 5.453312
NVIDIA-GeForce-RTX-4090   cutlass float16  uint4b         128 1664 16384 16384 5.432320
NVIDIA-GeForce-RTX-4090    triton float16  uint4b         128 1664 16384 16384 6.458368
NVIDIA-GeForce-RTX-4090     mutis float16  uint4b         128 1664 16384 16384 5.999616
NVIDIA-GeForce-RTX-4090   gemlite float16  uint4b         128 1664 16384 16384 6.119152
NVIDIA-GeForce-RTX-4090    tilelp float16  uint4b         128 1664 16384 16384 5.524480
NVIDIA-GeForce-RTX-4090   bitblas float16  uint4b         128 1664 16384 16384 7.407616
NVIDIA-GeForce-RTX-4090 torch-f16 float16 float16          -1 1792 16384 16384 5.781504
NVIDIA-GeForce-RTX-4090   cutlass float16  uint4b         128 1792 16384 16384 5.782528
NVIDIA-GeForce-RTX-4090    triton float16  uint4b         128 1792 16384 16384 6.938640
NVIDIA-GeForce-RTX-4090     mutis float16  uint4b         128 1792 16384 16384 6.317056
NVIDIA-GeForce-RTX-4090   gemlite float16  uint4b         128 1792 16384 16384 6.616064
NVIDIA-GeForce-RTX-4090    tilelp float16  uint4b         128 1792 16384 16384 5.953536
NVIDIA-GeForce-RTX-4090   bitblas float16  uint4b         128 1792 16384 16384 7.347200
NVIDIA-GeForce-RTX-4090 torch-f16 float16 float16          -1 1920 16384 16384 6.417920
NVIDIA-GeForce-RTX-4090   cutlass float16  uint4b         128 1920 16384 16384 6.425088
NVIDIA-GeForce-RTX-4090    triton float16  uint4b         128 1920 16384 16384 7.495168
NVIDIA-GeForce-RTX-4090     mutis float16  uint4b         128 1920 16384 16384 6.839264
NVIDIA-GeForce-RTX-4090   gemlite float16  uint4b         128 1920 16384 16384 7.087104
NVIDIA-GeForce-RTX-4090    tilelp float16  uint4b         128 1920 16384 16384 6.428288
NVIDIA-GeForce-RTX-4090   bitblas float16  uint4b         128 1920 16384 16384 8.444416
NVIDIA-GeForce-RTX-4090 torch-f16 float16 float16          -1 2048 16384 16384 6.673408
NVIDIA-GeForce-RTX-4090   cutlass float16  uint4b         128 2048 16384 16384 6.714368
NVIDIA-GeForce-RTX-4090    triton float16  uint4b         128 2048 16384 16384 7.941120
NVIDIA-GeForce-RTX-4090     mutis float16  uint4b         128 2048 16384 16384 7.163904
NVIDIA-GeForce-RTX-4090   gemlite float16  uint4b         128 2048 16384 16384 7.579648
