device,runner,a_dtype,b_dtype,group_size,m,k,n,latency
NVIDIA-GeForce-RTX-4090,torch-f16,float16,float16,-1,1,8192,8192,0.19148799777030945
NVIDIA-GeForce-RTX-4090,cutlass,float16,uint4b,128,1,8192,8192,0.1372160017490387
NVIDIA-GeForce-RTX-4090,marlin,float16,uint4b,128,1,8192,8192,0.05169600062072277
NVIDIA-GeForce-RTX-4090,tilelp,float16,uint4b,128,1,8192,8192,0.03379200026392937
NVIDIA-GeForce-RTX-4090,triton,float16,uint4b,128,1,8192,8192,0.08806400001049042
NVIDIA-GeForce-RTX-4090,mutis,float16,uint4b,128,1,8192,8192,0.04710400104522705
NVIDIA-GeForce-RTX-4090,bitblas,float16,uint4b,128,1,8192,8192,0.048128001391887665
NVIDIA-GeForce-RTX-4090,torch-f16,float16,float16,-1,1,12288,8192,0.26316800713539124
NVIDIA-GeForce-RTX-4090,cutlass,float16,uint4b,128,1,12288,8192,0.20684799551963806
NVIDIA-GeForce-RTX-4090,marlin,float16,uint4b,128,1,12288,8192,0.07065600156784058
NVIDIA-GeForce-RTX-4090,tilelp,float16,uint4b,128,1,12288,8192,0.05119999870657921
NVIDIA-GeForce-RTX-4090,triton,float16,uint4b,128,1,12288,8192,0.13209599256515503
NVIDIA-GeForce-RTX-4090,mutis,float16,uint4b,128,1,12288,8192,0.0655359998345375
NVIDIA-GeForce-RTX-4090,bitblas,float16,uint4b,128,1,12288,8192,0.07475200295448303
NVIDIA-GeForce-RTX-4090,torch-f16,float16,float16,-1,1,16384,8192,0.3338240087032318
NVIDIA-GeForce-RTX-4090,cutlass,float16,uint4b,128,1,16384,8192,0.27750399708747864
NVIDIA-GeForce-RTX-4090,marlin,float16,uint4b,128,1,16384,8192,0.08806400001049042
NVIDIA-GeForce-RTX-4090,tilelp,float16,uint4b,128,1,16384,8192,0.06860800087451935
NVIDIA-GeForce-RTX-4090,triton,float16,uint4b,128,1,16384,8192,0.17817600071430206
NVIDIA-GeForce-RTX-4090,mutis,float16,uint4b,128,1,16384,8192,0.08499199897050858
NVIDIA-GeForce-RTX-4090,bitblas,float16,uint4b,128,1,16384,8192,0.10444799810647964
NVIDIA-GeForce-RTX-4090,torch-f16,float16,float16,-1,1,28672,8192,0.5447679758071899
NVIDIA-GeForce-RTX-4090,cutlass,float16,uint4b,128,1,28672,8192,0.48844799399375916
NVIDIA-GeForce-RTX-4090,marlin,float16,uint4b,128,1,28672,8192,0.14336000382900238
NVIDIA-GeForce-RTX-4090,tilelp,float16,uint4b,128,1,28672,8192,0.12083200365304947
NVIDIA-GeForce-RTX-4090,triton,float16,uint4b,128,1,28672,8192,0.2949120104312897
NVIDIA-GeForce-RTX-4090,mutis,float16,uint4b,128,1,28672,8192,0.14044800400733948
NVIDIA-GeForce-RTX-4090,bitblas,float16,uint4b,128,1,28672,8192,0.17817600071430206
NVIDIA-GeForce-RTX-4090,torch-f16,float16,float16,-1,1,8192,16384,0.3112959861755371
NVIDIA-GeForce-RTX-4090,cutlass,float16,uint4b,128,1,8192,16384,0.2764799892902374
NVIDIA-GeForce-RTX-4090,marlin,float16,uint4b,128,1,8192,16384,0.0870399996638298
NVIDIA-GeForce-RTX-4090,tilelp,float16,uint4b,128,1,8192,16384,0.06758400052785873
NVIDIA-GeForce-RTX-4090,triton,float16,uint4b,128,1,8192,16384,0.16193599998950958
NVIDIA-GeForce-RTX-4090,mutis,float16,uint4b,128,1,8192,16384,0.08601599931716919
NVIDIA-GeForce-RTX-4090,bitblas,float16,uint4b,128,1,8192,16384,0.10035199671983719
