                 device    runner a_dtype b_dtype  group_size  m     k     n  latency
NVIDIA-GeForce-RTX-4090 torch-f16 float16 float16          -1  1  8192  8192 0.191488
NVIDIA-GeForce-RTX-4090   cutlass float16  uint4b         128  1  8192  8192 0.149504
NVIDIA-GeForce-RTX-4090    marlin float16  uint4b         128  1  8192  8192 0.052224
NVIDIA-GeForce-RTX-4090    tilelp float16  uint4b         128  1  8192  8192 0.032768
NVIDIA-GeForce-RTX-4090    triton float16  uint4b         128  1  8192  8192 0.089040
NVIDIA-GeForce-RTX-4090     mutis float16  uint4b         128  1  8192  8192 0.047104
NVIDIA-GeForce-RTX-4090   bitblas float16  uint4b         128  1  8192  8192 0.047104
NVIDIA-GeForce-RTX-4090 torch-f16 float16 float16          -1  1 16384  8192 0.332800
NVIDIA-GeForce-RTX-4090   cutlass float16  uint4b         128  1 16384  8192 0.277504
NVIDIA-GeForce-RTX-4090    marlin float16  uint4b         128  1 16384  8192 0.088064
NVIDIA-GeForce-RTX-4090    tilelp float16  uint4b         128  1 16384  8192 0.067584
NVIDIA-GeForce-RTX-4090    triton float16  uint4b         128  1 16384  8192 0.179120
NVIDIA-GeForce-RTX-4090     mutis float16  uint4b         128  1 16384  8192 0.084832
NVIDIA-GeForce-RTX-4090   bitblas float16  uint4b         128  1 16384  8192 0.100352
NVIDIA-GeForce-RTX-4090 torch-f16 float16 float16          -1  1  8192 57344 1.070080
NVIDIA-GeForce-RTX-4090   cutlass float16  uint4b         128  1  8192 57344 0.977792
NVIDIA-GeForce-RTX-4090    marlin float16  uint4b         128  1  8192 57344 0.269312
NVIDIA-GeForce-RTX-4090    tilelp float16  uint4b         128  1  8192 57344 0.242704
NVIDIA-GeForce-RTX-4090    triton float16  uint4b         128  1  8192 57344 0.425856
NVIDIA-GeForce-RTX-4090     mutis float16  uint4b         128  1  8192 57344 0.271360
NVIDIA-GeForce-RTX-4090   bitblas float16  uint4b         128  1  8192 57344 0.308224
NVIDIA-GeForce-RTX-4090 torch-f16 float16 float16          -1  1 28672  8192 0.544560
NVIDIA-GeForce-RTX-4090   cutlass float16  uint4b         128  1 28672  8192 0.500736
NVIDIA-GeForce-RTX-4090    marlin float16  uint4b         128  1 28672  8192 0.142336
NVIDIA-GeForce-RTX-4090    tilelp float16  uint4b         128  1 28672  8192 0.120832
NVIDIA-GeForce-RTX-4090    triton float16  uint4b         128  1 28672  8192 0.296224
NVIDIA-GeForce-RTX-4090     mutis float16  uint4b         128  1 28672  8192 0.140288
NVIDIA-GeForce-RTX-4090   bitblas float16  uint4b         128  1 28672  8192 0.178176
